NLC,NAME,EASTING,NORTHING,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Zone,x,y,Night Tube?
589,Greenford,514763,183928,Central,London Underground,Yes,,,,4,-0.34492109,51.54208841,No
590,Green Park,529007,180295,"Jubilee, Piccadilly, Victoria",London Underground,Yes,,,,1,-0.140937126,51.50635747,Yes
591,Gunnersbury,519845,178388,"District, London Overground",London Underground,Yes,,Yes,,3,-0.273547129,51.49123204,No
592,Hainault,545080,191498,Central,London Underground,Yes,,,,4,0.095143844,51.60313737,Yes
593,Hammersmith (DIS),523461,178503,"District, Piccadilly",London Underground,Yes,,,,2,-0.22144689,51.49148885,Yes
594,Hampstead,526373,185761,Northern,London Underground,Yes,,,,"2,3",-0.17692039,51.55608598,Yes
595,Hanger Lane,518527,182634,Central,London Underground,Yes,,,,3,-0.291095909,51.52968038,No
596,Harlesden,520875,183414,"Bakerloo, London Overground",London Underground,Yes,,Yes,,3,-0.256997378,51.53619355,No
597,Harrow & Wealdstone,515443,189446,"Bakerloo, London Overground",London Underground,Yes,,Yes,,5,-0.333300136,51.59154651,No
598,Harrow-on-the-Hill,515346,188038,Metropolitan,London Underground,Yes,,,,5,-0.33516664,51.57891586,No
599,Wood Lane,523374,180519,"Circle, Hammersmith & City",London Underground,Yes,,,,2,-0.221994162,51.50963208,No
601,Hendon Central,522986,188636,Northern,London Underground,Yes,,,,"3,4",-0.224748399,51.58267136,Yes
602,High Barnet,525030,196180,Northern,London Underground,Yes,,,,5,-0.192561468,51.65002914,Yes
603,Highbury & Islington,531583,184874,"London Overground, Victoria",London Underground,Yes,,Yes,,2,-0.102125867,51.54691824,Yes
604,Highgate,528535,188181,Northern,London Underground,Yes,,,,3,-0.144860652,51.577342,Yes
605,High Street Kensington,525578,179494,"Circle, District",London Underground,Yes,,,,1,-0.190607248,51.49993492,No
606,Hillingdon,507602,185035,"Metropolitan, Piccadilly",London Underground,Yes,,,,6,-0.447812239,51.55344939,No
607,Holborn,530512,181525,"Central, Piccadilly",London Underground,Yes,,,,1,-0.1188087,51.51706879,Yes
608,Holland Park,524626,180217,Central,London Underground,Yes,,,,2,-0.204062863,51.50664438,Yes
609,Holloway Road,530907,185450,Piccadilly,London Underground,Yes,,,,2,-0.111653531,51.55225038,Yes
610,Hornchurch,553944,186240,District,London Underground,Yes,,,,6,0.220754707,51.55353835,No
611,Hounslow Central,513568,175971,Piccadilly,London Underground,Yes,,,,4,-0.364716069,51.470809,Yes
612,Hounslow East,514255,176203,Piccadilly,London Underground,Yes,,,,4,-0.3547554,51.47275219,Yes
613,Hounslow West,512208,176197,Piccadilly,London Underground,Yes,,,,5,-0.384218262,51.47310845,Yes
614,Hyde Park Corner,528213,179817,Piccadilly,London Underground,Yes,,,,1,-0.152546395,51.50224103,Yes
615,Ickenham,508092,185938,"Metropolitan, Piccadilly",London Underground,Yes,,,,6,-0.440467266,51.56146986,No
616,Kennington,531599,178300,Northern,London Underground,Yes,,,,"1,2",-0.104357247,51.48782707,Yes
617,Kensal Green,523257,182790,"Bakerloo, London Overground",London Underground,Yes,,Yes,,2,-0.222882378,51.5300656,No
618,Kensington (Olympia),524342,179162,"District, London Overground",London Underground,Yes,,Yes,,2,-0.208533266,51.49722528,No
619,Kentish Town,529009,185127,Northern,London Underground,Yes,,,,2,-0.13914119,51.54978865,Yes
620,Kenton,516728,188314,"Bakerloo, London Overground",London Underground,Yes,,Yes,,4,-0.315140189,51.58111281,No
621,Kew Gardens,519196,176732,"District, London Overground",London Underground,Yes,,Yes,,"3,4",-0.283453589,51.47648632,No
622,Kilburn,524583,184645,Jubilee,London Underground,Yes,,,,2,-0.203115567,51.54644842,Yes
623,Kilburn Park,525358,183328,Bakerloo,London Underground,Yes,,,,2,-0.192420271,51.53444139,No
624,Kingsbury,519359,188713,Jubilee,London Underground,Yes,,,,4,-0.277052309,51.58414203,Yes
625,King's Cross St. Pancras,530175,182875,"Circle, Hammersmith & City, Metropolitan, Northern, Piccadilly, Victoria",London Underground,Yes,,,,1,-0.123168404,51.52927728,Yes
626,Knightsbridge,527710,179636,Piccadilly,London Underground,Yes,,,,1,-0.159863737,51.50073061,Yes
627,Ladbroke Grove,524235,181339,"Circle, Hammersmith & City",London Underground,Yes,,,,2,-0.209304449,51.51681261,No
628,Lambeth North,531134,179456,Bakerloo,London Underground,Yes,,,,1,-0.110624882,51.49833058,No
